batter,runs,balls,strike_rate
TR Birt,75,59,127.11864406779661
BB McCullum,2882,2272,126.84859154929578
Rahmanullah Gurbaz,289,228,126.75438596491229
SM Pollock,147,116,126.72413793103448
Gulbadin Naib,19,15,126.66666666666666
AC Voges,181,143,126.57342657342659
AK Markram,995,787,126.4294790343075
SM Katich,241,191,126.17801047120419
RV Uthappa,4954,3927,126.15227909345556
S Vidyut,145,115,126.08695652173914
Ankit Sharma,87,69,126.08695652173914
SW Billings,503,399,126.06516290726817
STR Binny,880,700,125.71428571428571
A Badoni,634,505,125.54455445544555
KK Nair,1496,1192,125.503355704698
M Vohra,1083,863,125.49246813441484
CL White,971,774,125.45219638242895
AR Patel,1653,1318,125.41729893778452
DJ Hooda,1466,1170,125.2991452991453
V Shankar,1115,890,125.2808988764045
DJ Bravo,1560,1247,125.10024057738573
Arshad Khan (2),5,4,125.0
A Choudhary,25,20,125.0
MR Marsh,665,532,125.0
OA Shah,506,405,124.93827160493827
MC Henriques,1000,801,124.84394506866417
SPD Smith,2495,1999,124.81240620310155
Yuvraj Singh,2754,2207,124.78477571363842
Azhar Mahmood,388,311,124.7588424437299
A Symonds,974,781,124.71190781049937
AT Rayudu,4348,3490,124.58452722063038
RA Jadeja,2959,2378,124.4322960470984
AD Hales,148,119,124.36974789915966
WP Saha,2934,2368,123.90202702702702
MV Boucher,394,318,123.89937106918238
MN van Wyk,167,135,123.7037037037037
Azmatullah Omarzai,42,34,123.52941176470588
S Dhawan,6769,5483,123.45431333211745
CJ Anderson,538,436,123.39449541284404
AJ Finch,2092,1696,123.34905660377358
SS Iyer,3131,2545,123.02554027504911
KS Williamson,2132,1734,122.95271049596307
C Munro,177,144,122.91666666666667
LMP Simmons,1079,878,122.89293849658314
AS Yadav,49,40,122.50000000000001
SA Abbott,22,18,122.22222222222223
DNT Zoysa,11,9,122.22222222222223
B Lee,124,102,121.56862745098039
BJ Hodge,1400,1153,121.42237640936686
P Negi,365,301,121.26245847176081
UT Khawaja,127,105,120.95238095238095
AD Mathews,724,599,120.86811352253757
JP Duminy,2029,1680,120.77380952380952
AM Rahane,4642,3858,120.32141005702437
LA Pomersbach,302,251,120.3187250996016
Mandeep Singh,1706,1418,120.31029619181946
SA Asnodkar,423,352,120.17045454545455
GJ Bailey,663,552,120.1086956521739
DJ Hussey,1322,1101,120.07266121707538
LRPL Taylor,1017,847,120.07083825265643
MA Wood,12,10,120.0
Joginder Sharma,36,30,120.0
DM Bravo,6,5,120.0
MEK Hussey,1977,1648,119.96359223300972
DH Yagnik,170,142,119.71830985915493
G Gambhir,4217,3524,119.66515323496027
Shakib Al Hasan,795,665,119.54887218045114
HC Brook,190,159,119.49685534591194
AB McDonald,123,103,119.41747572815532
KM Jadhav,1208,1012,119.36758893280633
JO Holder,259,217,119.35483870967742
T Taibu,31,26,119.23076923076923
EJG Morgan,1406,1181,119.05165114309906
AP Tare,339,285,118.94736842105263
Anmolpreet Singh,139,117,118.80341880341881
DPMD Jayawardene,1808,1522,118.7910643889619
M Vijay,2619,2208,118.61413043478262
Sameer Rizvi,51,43,118.6046511627907
KC Sangakkara,1687,1424,118.4691011235955
KS Bharat,199,168,118.45238095238095
MG Bracewell,58,49,118.36734693877551
S Sohal,368,311,118.32797427652733
KA Jamieson,65,55,118.18181818181819
